;Tarih;TP_BEK_S01_A_B
0;2013-1;1.5
1;2013-2;1.35
2;2013-3;1.5
3;2013-4;1.76
4;2013-5;1.25
5;2013-6;0.8
6;2013-7;0.95
7;2013-8;0.73
8;2013-9;1.13
9;2013-10;2.3
10;2013-11;2.0
11;2013-12;1.0
12;2014-1;1.82
13;2014-2;1.5
14;2014-3;1.2
15;2014-4;1.3
16;2014-5;1.7
17;2014-6;0.9
18;2014-7;0.7
19;2014-8;1.0
20;2014-9;1.0
21;2014-10;2.5
22;2014-11;1.9
23;2014-12;1.0
24;2015-1;1.85
25;2015-2;1.0
26;2015-3;1.15
27;2015-4;2.07
28;2015-5;1.5
29;2015-6;1.0
30;2015-7;1.0
31;2015-8;0.95
32;2015-9;1.3
33;2015-10;2.15
34;2015-11;1.1
35;2015-12;0.85
36;2016-1;2.13
37;2016-2;1.4
38;2016-3;1.1
39;2016-4;1.7
40;2016-5;1.5
41;2016-6;0.7
42;2016-7;0.8
43;2016-8;1.0
44;2016-9;1.1
45;2016-10;2.46
46;2016-11;1.85
47;2016-12;1.8
48;2017-1;3.0
49;2017-2;1.5
50;2017-3;2.0
51;2017-4;2.2
52;2017-5;2.4
53;2017-6;0.85
54;2017-7;0.85
55;2017-8;0.95
56;2017-9;1.25
57;2017-10;2.3
58;2017-11;1.6
59;2017-12;2.2
60;2018-1;2.3
61;2018-2;1.5
62;2018-3;1.45
63;2018-4;2.0
64;2018-5;1.9
65;2018-6;2.0
66;2018-7;2.5
67;2018-8;3.5
68;2018-9;4.0
69;2018-10;4.0
70;2018-11;2.8
71;2018-12;2.41
72;2019-1;3.0
73;2019-2;2.1
74;2019-3;2.0
75;2019-4;3.05
76;2019-5;2.83
77;2019-6;1.9
78;2019-7;2.7
79;2019-8;2.35
80;2019-9;2.3
81;2019-10;3.6
82;2019-11;1.7
83;2019-12;1.34
84;2020-1;1.73
85;2020-2;1.2
86;2020-3;2.0
87;2020-4;2.07
88;2020-5;1.5
89;2020-6;1.43
90;2020-7;1.7
91;2020-8;1.28
92;2020-9;2.6
93;2020-10;2.8
94;2020-11;1.75
95;2020-12;2.0
96;2021-1;2.0
97;2021-2;2.0
98;2021-3;1.5
99;2021-4;2.5
100;2021-5;2.0
101;2021-6;2.0
102;2021-7;2.0
103;2021-8;1.8
104;2021-9;2.1
105;2021-10;2.9
106;2021-11;2.7
107;2021-12;6.6
108;2022-1;13.0
109;2022-2;9.0
110;2022-3;8.5
111;2022-4;6.4
112;2022-5;9.0
113;2022-6;7.0
114;2022-7;8.5
115;2022-8;4.0
116;2022-9;4.9
117;2022-10;5.3
118;2022-11;4.0
119;2022-12;4.7
120;2023-1;5.29
121;2023-2;5.03
122;2023-3;4.2
123;2023-4;3.75
124;2023-5;4.2
125;2023-6;5.47
126;2023-7;8.2
127;2023-8;8.0
128;2023-9;9.2
129;2023-10;7.71
130;2023-11;5.9
131;2023-12;5.5
132;2024-1;7.6
