;Tarih;TP_BEK_S05_C_B
0;2013-1;2.2
1;2013-2;2.2
2;2013-3;2.2
3;2013-4;2.2
4;2013-5;2.2
5;2013-6;2.12
6;2013-7;2.16
7;2013-8;2.3
8;2013-9;2.5
9;2013-10;2.25
10;2013-11;2.5
11;2013-12;2.35
12;2014-1;2.52
13;2014-2;2.65
14;2014-3;2.55
15;2014-4;2.6
16;2014-5;2.45
17;2014-6;2.5
18;2014-7;2.45
19;2014-8;2.5
20;2014-9;2.6
21;2014-10;2.6
22;2014-11;2.69
23;2014-12;2.7
24;2015-1;2.8
25;2015-2;2.95
26;2015-3;3.0
27;2015-4;3.0
28;2015-5;3.0
29;2015-6;3.15
30;2015-7;3.0
31;2015-8;3.2
32;2015-9;3.5
33;2015-10;3.42
34;2015-11;3.4
35;2015-12;3.4
36;2016-1;3.6
37;2016-2;3.6
38;2016-3;3.65
39;2016-4;3.54
40;2016-5;3.6
41;2016-6;3.86
42;2016-7;3.5
43;2016-8;3.5
44;2016-9;3.6
45;2016-10;4.0
46;2016-11;4.0
47;2016-12;4.0
48;2017-1;4.8
49;2017-2;4.5
50;2017-3;4.4
51;2017-4;4.7
52;2017-5;4.5
53;2017-6;4.5
54;2017-7;4.25
55;2017-8;4.2
56;2017-9;4.15
57;2017-10;4.36
58;2017-11;4.9
59;2017-12;4.6
60;2018-1;5.0
61;2018-2;5.0
62;2018-3;5.0
63;2018-4;5.4
64;2018-5;6.15
65;2018-6;5.5
66;2018-7;7.0
67;2018-8;8.9
68;2018-9;10.8
69;2018-10;9.4
70;2018-11;9.0
71;2018-12;7.35
72;2019-1;7.35
73;2019-2;8.5
74;2019-3;7.4
75;2019-4;9.1
76;2019-5;8.5
77;2019-6;7.8
78;2019-7;7.08
79;2019-8;6.95
80;2019-9;7.07
81;2019-10;7.2
82;2019-11;7.0
83;2019-12;6.86
84;2020-1;6.7
85;2020-2;6.85
86;2020-3;7.3
87;2020-4;8.0
88;2020-5;8.2
89;2020-6;8.4
90;2020-7;8.54
91;2020-8;9.21
92;2020-9;8.8
93;2020-10;9.21
94;2020-11;10.0
95;2020-12;9.15
96;2021-1;9.1
97;2021-2;8.7
98;2021-3;9.17
99;2021-4;10.3
100;2021-5;10.27
101;2021-6;10.6
102;2021-7;10.55
103;2021-8;11.0
104;2021-9;10.7
105;2021-10;11.07
106;2021-11;12.05
107;2021-12;20.0
108;2022-1;21.0
109;2022-2;21.5
110;2022-3;22.0
111;2022-4;22.0
112;2022-5;23.56
113;2022-6;27.7
114;2022-7;28.0
115;2022-8;28.5
116;2022-9;27.1437
117;2022-10;27.5621
118;2022-11;29.17
119;2022-12;28.0
120;2023-1;29.22
121;2023-2;27.0079
122;2023-3;27.8794
123;2023-4;30.0
124;2023-5;28.6782
125;2023-6;34.33
126;2023-7;40.0
127;2023-8;42.0
128;2023-9;45.0
129;2023-10;43.5
130;2023-11;44.0
131;2023-12;44.0
132;2024-1;44.0
