;Tarih;TP_BEK_S01_B_B
0;2013-1;0.8
1;2013-2;1.5
2;2013-3;1.82
3;2013-4;1.25
4;2013-5;0.65
5;2013-6;1.1
6;2013-7;0.9
7;2013-8;1.7
8;2013-9;2.0
9;2013-10;1.6
10;2013-11;2.5
11;2013-12;1.72
12;2014-1;1.2
13;2014-2;1.5
14;2014-3;2.15
15;2014-4;1.2
16;2014-5;1.0
17;2014-6;0.89
18;2014-7;0.75
19;2014-8;1.1
20;2014-9;2.1
21;2014-10;1.2
22;2014-11;2.0
23;2014-12;1.9
24;2015-1;1.0
25;2015-2;1.1
26;2015-3;1.2
27;2015-4;1.5
28;2015-5;1.35
29;2015-6;1.0
30;2015-7;1.0
31;2015-8;1.2
32;2015-9;2.3
33;2015-10;1.0
34;2015-11;1.0
35;2015-12;1.7
36;2016-1;1.2
37;2016-2;1.5
38;2016-3;1.66
39;2016-4;1.24
40;2016-5;1.0
41;2016-6;0.8
42;2016-7;1.0
43;2016-8;1.1
44;2016-9;2.1
45;2016-10;1.75
46;2016-11;1.2
47;2016-12;2.4
48;2017-1;2.1
49;2017-2;1.75
50;2017-3;2.1
51;2017-4;2.3
52;2017-5;2.5
53;2017-6;0.8
54;2017-7;0.95
55;2017-8;1.3
56;2017-9;1.9
57;2017-10;1.38
58;2017-11;2.0
59;2017-12;2.7
60;2018-1;1.2
61;2018-2;1.55
62;2018-3;1.74
63;2018-4;1.8
64;2018-5;1.5
65;2018-6;2.0
66;2018-7;2.3
67;2018-8;3.0
68;2018-9;3.65
69;2018-10;3.0
70;2018-11;2.8
71;2018-12;3.1
72;2019-1;2.16
73;2019-2;2.09
74;2019-3;5.19
75;2019-4;1.8
76;2019-5;2.5
77;2019-6;3.2
78;2019-7;1.71
79;2019-8;3.0
80;2019-9;3.5
81;2019-10;2.4
82;2019-11;1.58
83;2019-12;1.72
84;2020-1;1.05
85;2020-2;1.25
86;2020-3;1.67
87;2020-4;1.25
88;2020-5;1.55
89;2020-6;1.2
90;2020-7;1.2
91;2020-8;2.6
92;2020-9;2.92
93;2020-10;1.5
94;2020-11;1.5
95;2020-12;2.0
96;2021-1;2.0
97;2021-2;1.8
98;2021-3;1.61
99;2021-4;2.0
100;2021-5;1.8
101;2021-6;2.0
102;2021-7;1.6
103;2021-8;2.2
104;2021-9;2.41
105;2021-10;2.1
106;2021-11;2.0
107;2021-12;8.6
108;2022-1;9.0
109;2022-2;7.0
110;2022-3;5.25
111;2022-4;6.0
112;2022-5;9.0
113;2022-6;8.5
114;2022-7;9.0
115;2022-8;5.52
116;2022-9;5.0
117;2022-10;4.6
118;2022-11;8.7
119;2022-12;6.0
120;2023-1;3.75
121;2023-2;4.0
122;2023-3;4.0
123;2023-4;4.2
124;2023-5;3.3
125;2023-6;4.5
126;2023-7;4.8
127;2023-8;8.0
128;2023-9;9.3
129;2023-10;5.8
130;2023-11;5.25
131;2023-12;8.57
132;2024-1;6.0
