;Tarih;TP_ISGUCARSIV_G6
0;2005-1;43.1
1;2005-2;43.1
2;2005-3;43.5
3;2005-4;44.7
4;2005-5;45.7
5;2005-6;46.2
6;2005-7;46.5
7;2005-8;45.9
8;2005-9;45.5
9;2005-10;44.9
10;2005-11;44.7
11;2005-12;43.8
12;2006-1;43.0
13;2006-2;42.4
14;2006-3;43.2
15;2006-4;44.3
16;2006-5;45.0
17;2006-6;45.5
18;2006-7;45.6
19;2006-8;45.8
20;2006-9;45.5
21;2006-10;44.9
22;2006-11;44.6
23;2006-12;44.0
24;2007-1;43.4
25;2007-2;42.9
26;2007-3;43.5
27;2007-4;44.4
28;2007-5;45.2
29;2007-6;45.6
30;2007-7;45.9
31;2007-8;45.7
32;2007-9;45.3
33;2007-10;44.4
34;2007-11;43.6
35;2007-12;43.1
36;2008-1;42.6
37;2008-2;42.8
38;2008-3;43.4
39;2008-4;44.6
40;2008-5;45.5
41;2008-6;46.1
42;2008-7;46.4
43;2008-8;46.3
44;2008-9;45.9
45;2008-10;45.6
46;2008-11;45.1
47;2008-12;44.5
48;2009-1;43.9
49;2009-2;43.8
50;2009-3;44.4
51;2009-4;45.1
52;2009-5;46.0
53;2009-6;46.7
54;2009-7;47.1
55;2009-8;47.2
56;2009-9;46.8
57;2009-10;46.6
58;2009-11;46.0
59;2009-12;45.6
60;2010-1;45.4
61;2010-2;45.4
62;2010-3;45.9
63;2010-4;46.6
64;2010-5;47.1
65;2010-6;47.6
66;2010-7;47.5
67;2010-8;47.3
68;2010-9;46.7
69;2010-10;46.6
70;2010-11;46.2
71;2010-12;46.0
72;2011-1;45.8
73;2011-2;46.1
74;2011-3;46.6
75;2011-4;47.4
76;2011-5;48.0
77;2011-6;48.7
78;2011-7;48.7
79;2011-8;48.5
80;2011-9;48.0
81;2011-10;47.5
82;2011-11;47.1
83;2011-12;46.3
84;2012-1;46.1
85;2012-2;45.7
86;2012-3;46.2
87;2012-4;47.2
88;2012-5;48.0
89;2012-6;48.3
90;2012-7;48.3
91;2012-8;48.3
92;2012-9;48.5
93;2012-10;48.6
94;2012-11;48.3
95;2012-12;47.7
96;2013-1;47.3
97;2013-2;47.2
98;2013-3;47.8
99;2013-4;48.7
100;2013-5;49.2
101;2013-6;49.4
102;2013-7;49.1
103;2013-8;49.1
104;2013-9;48.8
105;2013-10;48.4
106;2013-11;47.8
107;2013-12;47.6
108;2014-1;48.2
109;2014-2;49.1
110;2014-3;49.9
111;2014-4;50.7
112;2014-5;51.2
113;2014-6;51.3
114;2014-7;51.3
115;2014-8;51.2
116;2014-9;51.1
117;2014-10;51.0
118;2014-11;50.5
119;2014-12;50.2
120;2015-1;50.0
121;2015-2;50.1
122;2015-3;50.4
123;2015-4;51.1
124;2015-5;51.7
125;2015-6;52.1
126;2015-7;52.4
127;2015-8;52.1
128;2015-9;52.1
129;2015-10;51.6
130;2015-11;51.2
131;2015-12;50.9
132;2016-1;50.7
133;2016-2;50.8
134;2016-3;51.3
135;2016-4;52.0
136;2016-5;52.5
137;2016-6;52.4
138;2016-7;52.7
139;2016-8;52.6
140;2016-9;52.8
141;2016-10;52.4
142;2016-11;52.1
143;2016-12;51.6
144;2017-1;51.5
145;2017-2;51.8
146;2017-3;52.2
147;2017-4;52.7
148;2017-5;53.0
149;2017-6;53.4
150;2017-7;53.7
151;2017-8;53.7
152;2017-9;53.6
153;2017-10;53.1
154;2017-11;52.8
155;2017-12;52.4
156;2018-1;52.1
157;2018-2;52.17
158;2018-3;52.44
159;2018-4;53.0
160;2018-5;53.3
161;2018-6;53.82
162;2018-7;54.04
163;2018-8;54.31
164;2018-9;54.0
165;2018-10;53.7
166;2018-11;53.0
167;2018-12;52.4
168;2019-1;52.2
169;2019-2;52.5
170;2019-3;52.9
171;2019-4;52.9
172;2019-5;52.9
173;2019-6;53.3
174;2019-7;53.8
175;2019-8;53.9
176;2019-9;53.5
177;2019-10;53.0
178;2019-11;52.5
179;2019-12;51.8
180;2020-1;51.0
181;2020-2;49.9
182;2020-3;48.4
183;2020-4;47.2
184;2020-5;47.6
185;2020-6;49.0
186;2020-7;50.3
187;2020-8;50.6
188;2020-9;50.5
189;2020-10;50.0
190;2020-11;49.3
