;Tarih;TP_02TR10
0;2010-1;96.69
1;2010-2;96.97
2;2010-3;97.73
3;2010-4;98.44
4;2010-5;98.9
5;2010-6;98.81
6;2010-7;99.44
7;2010-8;100.37
8;2010-9;101.7
9;2010-10;102.64
10;2010-11;103.71
11;2010-12;104.54
12;2011-1;105.15
13;2011-2;106.56
14;2011-3;108.09
15;2011-4;109.57
16;2011-5;111.19
17;2011-6;112.22
18;2011-7;113.01
19;2011-8;112.97
20;2011-9;115.02
21;2011-10;116.11
22;2011-11;116.77
23;2011-12;118.5
24;2012-1;119.29
25;2012-2;121.86
26;2012-3;122.84
27;2012-4;125.08
28;2012-5;125.75
29;2012-6;126.88
30;2012-7;127.22
31;2012-8;129.38
32;2012-9;130.56
33;2012-10;131.7
34;2012-11;132.57
35;2012-12;133.87
36;2013-1;135.65
37;2013-2;138.45
38;2013-3;141.11
39;2013-4;143.41
40;2013-5;145.41
41;2013-6;147.78
42;2013-7;149.87
43;2013-8;151.25
44;2013-9;152.99
45;2013-10;155.83
46;2013-11;160.28
47;2013-12;161.14
48;2014-1;163.06
49;2014-2;165.11
50;2014-3;168.26
51;2014-4;172.18
52;2014-5;175.26
53;2014-6;179.39
54;2014-7;184.01
55;2014-8;187.94
56;2014-9;190.14
57;2014-10;194.46
58;2014-11;198.7
59;2014-12;202.35
60;2015-1;205.85
61;2015-2;210.97
62;2015-3;216.73
63;2015-4;221.46
64;2015-5;226.09
65;2015-6;228.8
66;2015-7;233.0
67;2015-8;234.28
68;2015-9;240.31
69;2015-10;246.03
70;2015-11;251.06
71;2015-12;252.77
72;2016-1;254.1
73;2016-2;256.03
74;2016-3;259.26
75;2016-4;262.92
76;2016-5;266.85
77;2016-6;268.03
78;2016-7;274.02
79;2016-8;278.25
80;2016-9;280.31
81;2016-10;279.4
82;2016-11;279.99
83;2016-12;282.15
84;2017-1;284.43
85;2017-2;287.79
86;2017-3;290.82
87;2017-4;292.91
88;2017-5;295.17
89;2017-6;296.17
90;2017-7;296.97
91;2017-8;297.65
92;2017-9;298.44
93;2017-10;301.15
94;2017-11;300.59
95;2017-12;302.03
96;2018-1;300.33
97;2018-2;302.63
98;2018-3;301.77
99;2018-4;303.84
100;2018-5;306.54
101;2018-6;307.4
102;2018-7;308.18
103;2018-8;308.63
104;2018-9;312.84
105;2018-10;319.06
106;2018-11;319.08
107;2018-12;315.85
108;2019-1;309.85
