;Tarih;TP_ISGUCARSIV_G8
0;2005-1;13.1
1;2005-2;13.1
2;2005-3;12.6
3;2005-4;11.9
4;2005-5;11.4
5;2005-6;11.5
6;2005-7;11.6
7;2005-8;11.6
8;2005-9;11.7
9;2005-10;11.7
10;2005-11;12.1
11;2005-12;12.7
12;2006-1;13.0
13;2006-2;13.1
14;2006-3;12.0
15;2006-4;11.1
16;2006-5;10.0
17;2006-6;10.2
18;2006-7;10.4
19;2006-8;10.8
20;2006-9;10.6
21;2006-10;10.4
22;2006-11;10.7
23;2006-12;11.6
24;2007-1;12.0
25;2007-2;12.3
26;2007-3;11.5
27;2007-4;11.0
28;2007-5;10.3
29;2007-6;10.4
30;2007-7;10.5
31;2007-8;10.8
32;2007-9;10.9
33;2007-10;11.1
34;2007-11;11.3
35;2007-12;11.7
36;2008-1;12.2
37;2008-2;12.8
38;2008-3;12.2
39;2008-4;11.1
40;2008-5;10.5
41;2008-6;10.8
42;2008-7;11.4
43;2008-8;11.7
44;2008-9;12.2
45;2008-10;12.7
46;2008-11;14.1
47;2008-12;15.2
48;2009-1;16.8
49;2009-2;17.5
50;2009-3;17.4
51;2009-4;16.7
52;2009-5;15.6
53;2009-6;15.2
54;2009-7;15.2
55;2009-8;15.8
56;2009-9;15.6
57;2009-10;15.1
58;2009-11;15.0
59;2009-12;15.3
60;2010-1;16.3
61;2010-2;16.2
62;2010-3;15.5
63;2010-4;13.8
64;2010-5;12.8
65;2010-6;12.4
66;2010-7;12.5
67;2010-8;13.3
68;2010-9;13.2
69;2010-10;12.9
70;2010-11;12.5
71;2010-12;13.0
72;2011-1;13.4
73;2011-2;13.0
74;2011-3;12.4
75;2011-4;11.4
76;2011-5;11.0
77;2011-6;10.9
78;2011-7;10.8
79;2011-8;10.8
80;2011-9;10.3
81;2011-10;10.4
82;2011-11;10.2
83;2011-12;10.8
84;2012-1;11.1
85;2012-2;11.5
86;2012-3;11.0
87;2012-4;10.0
88;2012-5;9.3
89;2012-6;9.1
90;2012-7;9.5
91;2012-8;10.0
92;2012-9;10.3
93;2012-10;10.2
94;2012-11;10.5
95;2012-12;11.2
96;2013-1;11.6
97;2013-2;11.6
98;2013-3;11.2
99;2013-4;10.5
100;2013-5;10.0
101;2013-6;10.0
102;2013-7;10.7
103;2013-8;11.2
104;2013-9;11.3
105;2013-10;10.9
106;2013-11;11.0
107;2013-12;11.3
108;2014-1;12.1
109;2014-2;12.1
110;2014-3;11.6
111;2014-4;10.8
112;2014-5;10.7
113;2014-6;11.1
114;2014-7;12.0
115;2014-8;12.3
116;2014-9;12.7
117;2014-10;12.5
118;2014-11;12.7
119;2014-12;12.9
120;2015-1;13.4
121;2015-2;13.2
122;2015-3;12.6
123;2015-4;11.6
124;2015-5;11.4
125;2015-6;11.7
126;2015-7;12.0
127;2015-8;12.4
128;2015-9;12.4
129;2015-10;12.6
130;2015-11;12.4
131;2015-12;12.7
132;2016-1;13.0
133;2016-2;12.7
134;2016-3;11.9
135;2016-4;11.0
136;2016-5;11.3
137;2016-6;12.2
138;2016-7;13.0
139;2016-8;13.7
140;2016-9;13.7
141;2016-10;14.1
142;2016-11;14.3
143;2016-12;14.9
144;2017-1;15.2
145;2017-2;14.8
146;2017-3;13.7
147;2017-4;12.4
148;2017-5;12.2
149;2017-6;12.2
150;2017-7;13.0
151;2017-8;12.8
152;2017-9;12.8
153;2017-10;12.3
154;2017-11;12.2
155;2017-12;12.3
156;2018-1;12.7
157;2018-2;12.45
158;2018-3;11.86
159;2018-4;11.4
160;2018-5;11.6
161;2018-6;12.11
162;2018-7;12.86
163;2018-8;13.21
164;2018-9;13.5
165;2018-10;13.6
166;2018-11;14.3
167;2018-12;15.6
168;2019-1;16.8
169;2019-2;16.9
170;2019-3;16.1
171;2019-4;15.0
172;2019-5;15.0
173;2019-6;15.3
174;2019-7;16.5
175;2019-8;16.7
176;2019-9;16.4
177;2019-10;15.7
178;2019-11;15.4
179;2019-12;15.8
180;2020-1;15.7
181;2020-2;15.4
182;2020-3;15.0
183;2020-4;14.9
184;2020-5;15.2
185;2020-6;15.9
186;2020-7;15.9
187;2020-8;15.7
188;2020-9;14.9
189;2020-10;14.8
190;2020-11;14.8
